ChemicalName,CASNumber
"OXIRANE, 2-DECYL-3-(5-METHYLHEXYL)-, CIS-",29804-22-6
"OXIRANE, METHYL-, POLYMER WITH OXIRANE, COMPD. WITH IODINE",26617-87-8
"OXIRANE, METHYL-, POLYMER WITH OXIRANE, MONOBUTYL ETHER, COMPD. WITH IODINE",68610-00-4
OXYDEMETON METHYL,301-12-2
OXYDIAZON,19666-30-9
(OXYDIETHYLENEGLYCOL)BIS(COCO ALKYL)DIMETHYL AMMONIUM CHLORIDE,68607-28-3
OXYFLUORFEN,42874-03-3
OXYTETRACYCLINE HYDROCHLORIDE (INTERNAL USE),2058-46-0
"2,3-P-DIOXANEDITHIOL S,S-BIS(O,O-DIETHYL PHOSPHORODITHIOATE)",78-34-2
2-(P-HYDROXYPHENYL)GLYOXYLOHYDROXYMOYL CHLORIDE,34911-46-1
P-TERT-AMYLPHENOL,80-46-6
"P-TERT-AMYLPHENOL, POTASSIUM SALT",53404-18-5
PACLOBUTRAZOL,76738-62-0
PARABENS,94-13-3
PARAFORMALDEHYDE,30525-89-4
PARAQUAT,1910-42-5
PARAQUAT METHOSULFATE,2074-50-2
PARATHION,56-38-2
PEBULATE,1114-71-2
PENDIMETHALIN,40487-42-1
PENTACHLOROPHENOL,87-86-5
"2,3,4,5,6-PENTAHYDROXYHEXANOIC ACID",526-95-4
PENTANE,109-66-0
1-PENTANETHIOL,110-66-7
PERACETIC ACID,79-21-0
"PERBORIC ACID, SODIUM SALT, MONOHYDRATE",10332-33-9
PERFLUIDONE,37924-13-3
PERMETHRIN,52645-53-1
"PEROXYCARBONIC ACID, TETRATHIO-, DISODIUM SALT",7345-69-9
"PEROXYMONOSULFURIC ACID, MONOPOTASSIUM SALT",10058-23-8
PERTHANE,72-56-0
PETROLEUM DISTILLATES,2228840
"1-PHENANTHRENEMETHANAMINE, 1,2,3,4,4A,9,10,10A-OCTAHYDRO-1,4A-DIMETHYL-7-...",1446-61-3
PHENMEDIPHAM,13684-63-4
PHENOL,108-95-2
"PHENOL, 2-(1-METHYLPROPYL)-4,6-DINITRO-, COMPD. WITH 2,2',2''-NITRILOTRIS[ETHANOL] (1:1)",6420-47-9
"PHENOL, 2-(1-METHYLPROPYL)-4,6-DINITRO-, SODIUM SALT",35040-03-0
"PHENOL, 2-METHOXY-5-NITRO-, SODIUM SALT",67233-85-6
"PHENOL, 2-NITRO-, SODIUM SALT",824-39-5
"PHENOL, 3-(1-METHYLETHYL)-, METHYLCARBAMATE",64-00-6
"PHENOL, 4-(1,1-DIMETHYLPROPYL)-, SODIUM SALT",31366-95-7
"PHENOL, 4-CHLORO-2-(PHENYLMETHYL)-, POTASSIUM SALT",35471-49-9
"PHENOL, 4-CHLORO-2-(PHENYLMETHYL)-, SODIUM SALT",3184-65-4
"PHENOL, 4-NITRO-3-(TRIFLUOROMETHYL)-",88-30-2
"PHENOL, METHYL-, POTASSIUM SALT",12002-51-6
PHENOTHRIN,26002-80-2
PHENTHOATE,254642
1-PHENYL-2-ETHANOL,60-12-8
PHENYLMERCURIC ACETATE,62-38-4
2-PHENYLPHENOL,90-43-7
PHEROMONE: GRAPE BERRY MOTH,16974-11-1
PHORATE,298-02-2
PHOSACETIM,4104-14-7
PHOSALONE,2310-17-0
PHOSPHAMIDON,13171-21-6
PHOSPHINE,7803-51-2
"PHOSPHINIC ACID, COMPD. WITH 2-(4-THIAZOLYL)-1H-BENZIMIDAZOLE (1:1)",28558-32-9
PHOSPHORIC ACID,7664-38-2
"PHOSPHORIC ACID, BIS(2-ETHYLHEXYL) ESTER, COMPD. WITH 2,2'-(COCO ALKYLIMINO)BIS[ETHANOL]",68649-38-7
"PHOSPHORIC ACID, DIOCTYL ESTER, COMPD. WITH 2,2'-(DODECYLIMINO)BIS(ETHANOL) (1:1)",68961-66-0
"PHOSPHORIC ACID, IRON(3+) SALT (1:1)",10045-86-0
"PHOSPHORIC ACID, MONO(2-ETHYLHEXYL) ESTER",1070-03-7
"PHOSPHORIC ACID, MONO(2-ETHYLHEXYL)ESTER, COMPDS. WITH DIETHANOLAMINE N-COCO ALKYL DERIVS. (1:1)",120579-32-0
"PHOSPHORIC ACID, MONOOCTYL ESTER, COMPD. WITH 2,2'-(DODECYLIMINO)BIS(ETHANOL) (1:1)",125091-04-5
"PHOSPHOROTHIOIC ACID, O-[5-CHLORO-1-(1-METHYLETHYL)-1H-1,2,4-TRIAZOL-3-YL] O,O-DIETHYL ESTER",42509-80-8
PHOSPHORUS (YELLOW OR WHITE),7723-14-0
PHOSPHORUS PENTOXIDE,1314-56-3
PICLORAM,6607
PICLORAM TRIETHYLAMINE SALT,35832-11-2
PIPERALIN,3478-94-2
PIPERAZINE DIHYDROCHLORIDE,142-64-3
PIPERINE,94-62-2
PIPERONYL BUTOXIDE,51-03-6
PIRIMICARB,23103-98-2
PIRIMIFOS-ETHYL,23505-41-1
PIRIMIPHOS METHYL,29232-93-7
"2-PIVALYL-1,3-INDANDIONE (PINDONE)",83-26-1
POLY(DIMETHYLDIALLYLAMMINIUM CHLORIDE),26062-79-3
"POLY(IMINOCARBONIMIDOYLIMINOCARBONIMIDOYLIMINO-1,6-HEXANEDIYL), HYDROCHLORIDE",32289-58-0
"POLY(OXY-1,2-ETHANEDIYL), .ALPHA.-(NONYLPHENYL)-.OMEGA.-HYDROXY-, COMPD. WITH IODINE",11096-42-7
"POLY(OXY-1,2-ETHANEDIYL), .ALPHA.-ISOOCTADECYL-.OMEGA.-HYDROXY-",52292-17-8
"POLY(OXY-1,2-ETHANEDIYL), .ALPHA.-[4-(1,1,3,3-TETRAMETHYLBUTYL)PHENYL]-.OMEGA.-HYDROXY-, COMPD. WITH IODINE",53404-04-9
"POLY(OXYMETHYLENE), .ALPHA.-(1H,3H,5H-OXAZOLO[3,4-C]OXAZOL-7A(7H)-YLMETHYL)-.OMEGA.-HYDROXY-",56709-13-8
POLYCHLORINATED TERPHENYLS,61788-33-8
(POLYETHYL)BENZENES,64742-94-5
POLYOXYETHYLENE (20) SORBITAN MONOLAURATE,9005-64-5
POLYVINYL PYRROLIDONE,9003-39-8
"POLY[OXY(METHYL-1,2-ETHANEDIYL)], .ALPHA.-BUTYL-.OMEGA.-HYDROXY-",9003-13-8
POTASSIUM BROMIDE,2139626
POTASSIUM CHROMATE,7789-00-6
POTASSIUM CYANIDE,151-50-8
POTASSIUM DICHLORO ISOCYANURATE,2244-21-5
POTASSIUM DICHROMATE,7778-50-9
POTASSIUM DIMETHYLDITHIOCARBAMATE,128-03-0
POTASSIUM HYDROXIDE,1310-58-3
POTASSIUM HYROXYMETHYL-N-METHYL-DITHIOCARBAMATE,51026-28-9
POTASSIUM IODIDE,7681-11-0
POTASSIUM IODIDE (K(I3)),12298-68-9
POTASSIUM N-METHYLDITHIOCARBAMATE,137-41-7
POTASSIUM NITRATE,7757-79-1
POTASSIUM PERMANGANATE,7722-64-7
POTASSIUM PYROPHOSPHATE,7320-34-5
POTASSIUM SALT OF ETHYLENEDIAMINETETRAACETIC ACID,7379-27-3
POTASSIUM SOAP OF TALL OIL FATTY ACIDS (C18),61790-44-1
POTASSIUM SORBATE,590-00-1
PRALLETHRIN (ETOC),23031-36-9
PRIMISULFURON-METHYL,86209-51-0
PRODIAMINE (RYDEX),29091-21-2
PROFENOFOS,41198-08-7
PROFLURALIN,26399-36-0
PROHEXADIONE CALCIUM,127277-53-6
PROMETON,1610-18-0
PROMETRYN,7287-19-6
PROMEXAL (MTI),82633-79-2
PRONAMIDE,23950-58-5
PROPACHLOR,1918-16-7
PROPAMOCARB HYDROCHLORIDE,25606-41-1
"1,3-PROPANEDIOL, 2-ETHYL-2-NITRO-",597-09-1
"1,2,3-PROPANETRICARBOXYLIC ACID, 2-HYDROXY-, COPPER SALT",10402-15-0
"1,2,3-PROPANETRIOL TRI(12-HYDROXYSTEARATE)",8001-78-3
PROPANIL,709-98-8
"PROPANOIC ACID, 2-(2,4,5-TRICHLOROPHENOXY)-, COMPD. WITH 2,2',2''-NITRILOTRIS[ETHANOL] (1:1)",17369-89-0
"PROPANOIC ACID, 2-(2,4,5-TRICHLOROPHENOXY)-, COMPD. WITH N-METHYLMETHANAMINE (1:1)",55617-85-1
"PROPANOIC ACID, 2-(2,4,5-TRICHLOROPHENOXY)-, POTASSIUM SALT",2818-16-8
"PROPANOIC ACID, 2-(2,4-DICHLOROPHENOXY)-, 2-BUTOXYETHYL ESTER",53404-31-2
"PROPANOIC ACID, 2-(2,4-DICHLOROPHENOXY)-, COMPD. WITH N-METHYLMETHANAMINE (1:1)",53404-32-3
"PROPANOIC ACID, 2-(2,4-DICHLOROPHENOXY)-, ISOOCTYL ESTER",28631-35-8
"PROPANOIC ACID, 2-(4-CHLORO-2-METHYLPHENOXY)-, (R)-",16484-77-8
"PROPANOIC ACID, 2-(4-CHLORO-2-METHYLPHENOXY)-, COMPD. WITH 2,2'-IMINOBIS[ETHANOL] (1:1)",1432-14-0
"PROPANOIC ACID, 2-(4-CHLORO-2-METHYLPHENOXY)-, COMPD. WITH N-METHYLMETHANAMINE (1:1)",32351-70-5
"PROPANOIC ACID, 2-(4-CHLORO-2-METHYLPHENOXY)-, ISOOCTYL ESTER",28473-03-2
"PROPANOIC ACID, 2-(4-CHLORO-2-METHYLPHENOXY)-, POTASSIUM SALT",1929-86-8
"PROPANOIC ACID, 2-HYDROXY-, (S)-",79-33-4
"PROPANOIC ACID, 2-PHENYLETHYL ESTER",122-70-3
"PROPANOIC ACID, 2-[4-[(6-CHLORO-2-BENZOXAZOLYL)OXY]PHENOXY]-, ETHYL ESTER, (R)-",71283-80-2
"PROPANOIC ACID, 2-[4-[[5-(TRIFLUOROMETHYL)-2-PYRIDINYL]OXY]PHENOXY]-, BUTYL ESTER, (R)-",79241-46-6
"1-PROPANOL, 2-[(HYDROXYMETHYL)AMINO]-2-METHYL-",52299-20-4
"2-PROPANONE, 1,1,1,3,3,3-HEXACHLORO-",116-16-5
PROPARGITE,2312-35-8
PROPAZINE,139-40-2
"2-PROPEN-1-OL, 3-PHENYL-",104-54-1
"2-PROPENAL, 3-PHENYL-",104-55-2
"2-PROPENOIC ACID, 2-METHYL-, METHYL ESTER = STANNANE, TRIBUTYLMEACRYLATE",26354-18-7
"2-PROPENOIC ACID, 3-(4-METHOXYPHENYL)-, 2-ETHOXYETHYL ESTER",104-28-9
PROPETAMPHOS,31218-83-4
PROPHAM,122-42-9
PROPICONAZOLE,60207-90-1
PROPIONIC ACID,79-09-4
PROPOXUR,114-26-1
PROPYLENE GLYCOL,57-55-6
PROPYLENE OXIDE,75-56-9
PROSULFURON (CGA-152005),94125-34-5
PYMETROZINE,123312-89-0
PYRACLOSTROBIN,175013-18-0
PYRETHRUM,8003-34-7
PYRIDABEN,96489-71-3
"3,6-PYRIDAZINEDIONE, 1,2-DIHYDRO-, MONOPOTASSIUM SALT",28382-15-2
PYRIDINE,110-86-1
"PYRIDINE, 4-AMINO-",504-24-5
"3-PYRIDINECARBOXYLIC ACID, 2-[4,5-DIHYDRO-4-METHYL-4-(1-METHYLETHYL)-5-OXO-1H-IMIDAZOL-2-YL]-, COMPD. WITH 2-PROPANAMINE(1:1)",81510-83-0
"3-PYRIDINECARBOXYLIC ACID, 2-[4,5-DIHYDRO-4-METHYL-4-(1-METHYLETHYL)-5-OXO-1H-IMIDAZOL-2-YL]-5-(METHOXYMETHYL)-",114311-32-9
"3-PYRIDINECARBOXYLIC ACID, 2-[4,5-DIHYDRO-4-METHYL-4-(1-METHYLETHYL)-5-OXO-1H-IMIDAZOL-2-YL]-5-ETHYL-, MONOAMMONIUM SALT",101917-66-2
"2-PYRIDINECARBOXYLIC ACID, 4-AMINO-3,5,6-TRICHLORO-, COMPD.WITH 1,1',1''-NITRILOTRIS[2-PROPANOL] (1:1)",6753-47-5
"2-PYRIDINECARBOXYLIC ACID, 4-AMINO-3,5,6-TRICHLORO-, ISOOCTYL ESTER",26952-20-5
"2-PYRIDINECARBOXYLIC ACID, 4-AMINO-3,5,6-TRICHLORO-, MONOPOTASSIUM SALT",2545-60-0
PYRITHIOBAC-SODIUM,123343-16-8
"2-PYRROLIDINONE, 1-ETHENYL-, HOMOPOLYMER, COMPD. WITH IODINE",25655-41-8
"QUATERNARY AMMONIUM COMPOUNDS, BENZYL-C10-18-ALKYLBIS(HYDROXYETHYL), CHLORIDES",91721-81-2
"QUATERNARY AMMONIUM COMPOUNDS, BENZYL-C12-18-ALKYLDIMETHYL, SALTS WITH 1,2-BENZISOTHIAZOL-3(2H)-ONE 1,1-DIOXIDE (1:1)",68989-01-5
"QUATERNARY AMMONIUM COMPOUNDS, BENZYLCOCO ALKYLDIMETHYL, CHLORIDES",61789-71-7
"QUATERNARY AMMONIUM COMPOUNDS, BENZYLDI-C12-18-ALKYLMETHYL, CHLORIDES",73049-75-9
"QUATERNARY AMMONIUM COMPOUNDS, C12-14-ALKYL[(ETHYLPHENYL)METHYL]DIMETHYL, CHLORIDES",85409-23-0
"QUATERNARY AMMONIUM COMPOUNDS, C12-16-ALKYL[(DICHLOROPHENYL)METHYL]DIMETHYL, CHLORIDES",68989-02-6
"QUATERNARY AMMONIUM COMPOUNDS, C12-18-ALKYLDIMETHYLETHYLBENZYL, CHLORIDES",8045-21-4
"QUATERNARY AMMONIUM COMPOUNDS, C14-18-ALKYLETHYLDIMETHYL",134595-54-3
"QUATERNARY AMMONIUM COMPOUNDS, C14-18-ALKYLTRIMETHYL, BROMIDES",68424-92-0
"QUATERNARY AMMONIUM COMPOUNDS, C14-18-ALKYLTRIMETHYL, CHLORIDES",68002-63-1
"QUATERNARY AMMONIUM COMPOUNDS, C16-18-ALKYLTRIMETHYL, CHLORIDES",68002-62-0
"QUATERNARY AMMONIUM COMPOUNDS, DI-C8-18-ALKYLDIMETHYL, CHLORIDES",73398-64-8
QUINCLORAC (FACET),84087-01-4
"3-QUINOLINECARBOXYLIC ACID, 2-[4,5-DIHYDRO-4-METHYL-4-(1-METHYLETHYL)-5-OXO-1H-IMIDAZOL-2-YL]-, MONOAMMONIUM SALT",81335-47-9
"3-QUINOLINECARBOXYLIC ACID, 2-[4,5-DIHYDRO-4-METHYL-4-(1-METHYLETHYL)-5-OXO-1H-IMIDAZOL-2-YL]-, SODIUM SALT",81335-46-8
QUINONE,106-51-4
QUINTOZENE,82-68-8
QUIZALOFOP P-ETHYL,100646-51-3
QUIZALOFOP-ETHYL,76578-14-8
"RESIN ACIDS AND ROSIN ACIDS, COPPER SALTS",9007-39-0
RESMETHRIN,10453-86-8
RIMSULFURON (DPX-E9636),122931-48-0
RONNEL,299-84-3
"ROTENONE, COMMERCIAL",83-79-4
"(RS)-2-(3,5-DICHLOROPHENYL)-2-(2,2,2-TRICHLOROETHYL)OXIRANE",58138-08-2
(RS)-2-METHYL-1-PYRIMIDIN-5-YL-1-(4-TRIFLUOROMETHOXY)PHENYLPROPAN- -2-OL,56425-91-3
(RS)-SEC-BUTYLAMINE,13952-84-6
"(4RS,5RS)-5-(4-CHLOROPHENYL)-N-CYCLOHEXYL-4-METHYL-2-OXO-1,3-THIA- ZOLIDINE-3-CARBOXAMIDE",78587-05-0
RYANODINE,15662-33-6
"(S)-ALPHA-CYANO-3-PHENOXYBENZYL (1R)-CIS-2,2-DIMETHYL-3-((RS)-1,2,2,2-TETRABROMOETHYL)-CYCLOPROPA- NECARBOXYLATE",66841-25-6
"S,S,S-TRIBUTYLTRITHIOPHOSPHATE",78-48-8
SABADILLA,2246642
SEC-BUTYL ALCOHOL,78-92-2
SESONE,136-78-7
SETHOXYDIM,74051-80-2
SIDURON,1982-49-6
SILICA GEL,63231-67-4
"SILICA, AMORPHOUS",61790-53-2
"SILICA, AMORPHOUS HYDRATED",7631-86-9
"SILICIC ACID (H2SIO3), DISODIUM SALT",6834-92-0
SILVER,7440-22-4
SILVER NITRATE,7761-88-8
SILVER OXIDE (AG4O4),155645-89-9
SIMAZINE,122-34-9
"SODIUM 4,6-DINITRO-O-CRESOL",2312-76-7
SODIUM ALKYL ARYL SULFONATE,68411-30-3
SODIUM ARSENATE,13464-38-5
SODIUM ARSENITE,7784-46-5
SODIUM AZIDE,26628-22-8
SODIUM BENZOATE,532-32-1
SODIUM BICARBONATE,144-55-8
SODIUM BICHROMATE,10588-01-9
SODIUM BISULFATE,7681-38-1
SODIUM BISULFITE,7631-90-5
SODIUM BROMIDE,7647-15-6
SODIUM CACODYLATE,124-65-2
SODIUM CARBONATE,497-19-8
SODIUM CHLORATE,2146053
SODIUM CHLORIDE,7647-14-5
SODIUM CHLORITE,7758-19-2
SODIUM CHROMATE,2146108
SODIUM CYANIDE,143-33-9
SODIUM DEHYDROACETATE,4418-26-2
SODIUM DICAMBA,1982-69-0
SODIUM DICHLORO-S-TRIAZINETRIONE,2893-78-9
SODIUM DIMETHYLDITHIOCARBAMATE,128-04-1
SODIUM DODECYLBENZENE SULFONATE,25155-30-0
SODIUM FLUORIDE,7681-49-4
SODIUM FLUOSILICATE,16893-85-9
SODIUM HEXAMETAPHOSPATE,10124-56-8
SODIUM HYDROSULFIDE,16721-80-5
SODIUM HYPOCHLORITE,7681-52-9
SODIUM LAURYL SULFATE,151-21-3
SODIUM METABISULFITE,7681-57-4
SODIUM METABORATE,7775-19-1
SODIUM NITRATE,7631-99-4
SODIUM NITRITE,7632-00-0
SODIUM OMADINE,15922-78-8
SODIUM PENTACHLOROPHENATE,131-52-2
SODIUM PERCARBONATE,15630-89-4
SODIUM PHENATE,139-02-6
"SODIUM PHOSPHATE, MONOBASIC",7558-80-7
"SODIUM PHOSPHATE, TRIBASIC",7601-54-9
SODIUM SESQUICARBONATE,533-96-0
SODIUM SILICATE,1344-09-8
SODIUM SULFIDE (NA2S),1313-82-2
SODIUM TRIPOLYPHOSPHATE,7758-29-4
SODIUM-2-PYRIDINETHIOL-1-OXIDE,3811-73-2
SODIUM-P-TOLUENESULPHONCHLORAMIDE,127-65-1
"SOLVENT NAPHTHA (PETROLEUM), LIGHT ALIPHATIC",64742-89-8
"SOLVENT NAPHTHA (PETROLEUM), MEDIUM ALIPHATIC",64742-88-7
"SPIRO[11-OXABICYCLO[8.1.0]UNDEC-6-ENE-2,2'-OXIRAN]-3-ONE, 8-METHYLENE-5-(1-METHYLETHYL)-, [1R-(1R*,2R*,5S*,6E,10R*)]-",61228-92-0
SQUALANE,111-01-3
"STANNANE, (ACETYLOXY)TRIBUTYL-",56-36-0
"STANNANE, TRIBUTYL[(1-OXO-2-PROPENYL)OXY]-",13331-52-7
"STANNANE, TRIBUTYL[(1-OXO-9,12-OCTADECAD",24124-25-2
"STANNANE, TRIBUTYL[(1-OXONEODECYL)OXY]-",28801-69-6
"STANNANE, TRIBUTYL[[2-[(TRIBUTYLSTANNYL)OXY]BENZOYL]OXY]-",22330-14-9
"STANNANE, TRIBUTYL[[[1,2,3,4,4A,4B,5,6,1",26239-64-5
STIROFOS,22248-79-9
STODDARD SOLVENT,8052-41-3
STREPTOMYCIN,57-92-1
STREPTOMYCIN SULFATE,3810-74-0
STRYCHNINE,57-24-9
"STRYCHNINE, SULFATE",60-41-3
SUCROSE,57-50-1
SULFACETAMIDE,144-80-9
SULFALLATE,95-06-7
SULFAMIC ACID,5329-14-6
SULFAQUINOXALINE,59-40-5
SULFENTRAZONE,122836-35-5
SULFLURAMID,4151-50-2
SULFOMETURON METHYL,74222-97-2
SULFONAMIDE,63-74-1
1-(4-SULFOPHENYL)-4-((4-SULFOPHENYL)AZO)-1H-PYRAZOLE-3-CARBOXYLIC,1934-21-0
SULFOSULFURON [MON 31500],141776-32-1
SULFOTEP,3689-24-5
SULFOXIDE,120-62-7
SULFUR,7704-34-9
SULFUR DIOXIDE,2025884
SULFURIC ACID,7664-93-9
"SULFURIC ACID, COPPER(2+) SALT (1:1), PENTAHYDRATE",7758-99-8
"SULFURIC ACID, IRON(2+) SALT (1:1), HEPTAHYDRATE",7782-63-0
"SULFURIC ACID, IRON(2+) SALT (1:1), MONOHYDRATE",17375-41-6
"SULFURIC ACID, ZINC SALT (1:1), MONOHYDRATE",7446-19-7
SULFURYL FLUORIDE,2699-79-8
SULPROFOS,35400-43-2
SUMILARV (PYRIPROXYFEN),95737-68-1
"2,4,5-T",93-76-5
"2,4,5-T COMPOUND WITH N-METHYLMETHANAMINE  (1:1)",6369-97-7
"2,4,5-T ESTERS",93-79-8
"2,4,5-T TRIETHYLAMINE SALT",2008-46-0
"TAR ACIDS, COAL, CRUDE",65996-85-2
TCMTB,21564-17-0
TEBUCONAZOLE (FOLICUR),107534-96-3
TEBUFENOZIDE,112410-23-8
TEBUPIRIMFOS,96182-53-5
TEBUTHIURON,34014-18-1
TECNAZENE,117-18-0
TEFLUTHRIN,79538-32-2
TEMEPHOS,3383-96-8
TEPP,107-49-3
TEPRALOXYDIM,149979-41-9
TERBACIL,5902-51-2
TERBUFOS,13071-79-9
TERRAZOLE,2593-15-9
TERT-BUTYL ALCOHOL,75-65-0
"2,4,11,13-TETRAAZATETRADECANEDIIMIDAMIDE, N,N''-BIS(4-CHLOROPHENYL)-3,12-DIIMINO-, DIACETATE",56-95-1
TETRACAINE HYROCHLORIDE,136-47-0
"1,1,2,2-TETRACHLOROETHANE",79-34-5
TETRACHLOROETHYLENE,127-18-4
"2,3,4,6-TETRACHLOROPHENOL,POTASSIUM SALT",53535-27-6
"2,3,4,6-TETRACHLOROPHENOL,SODIUM SALT",25567-55-9
TETRACHLOROPHENOLS,25167-83-3
TETRACHLORVINPHOS,961-11-5
"1-TETRADECANAMINIUM, N-ETHYL-N,N-DIMETHYL-, BROMIDE",68527-84-4
"11-TETRADECEN-1-OL, (E)-",35153-18-5
"11-TETRADECEN-1-OL, ACETATE, (E)-",33189-72-9
"11-TETRADECEN-1-OL, ACETATE, (Z)-",20711-10-8
TETRADIFON,116-29-0
TETRAGLYCINE HYDROPERIODIDE,7097-60-1
"1,2,3,6-TETRAHYDRO-3,6-DIOXOPYRIDAZINE",123-33-1
"1,2,3,4-TETRAHYDRONAPHTHALENE",119-64-2
TETRAIODOETHYLENE,513-92-8
TETRAMETHRIN,7696-12-0
"(1,1,3,3-TETRAMETHYLBUTYL)PHENOL",27193-28-8
TETRASODIUM PYROPHOSPHATE,7722-88-5
TETRASUL,2227-13-6
THIABENDAZOLE,148-79-8
THIAFLUAMIDE (FOE 5043),142459-58-3
THIAMETHOXAM,153719-23-4
THIAZOPYR (MON 13200),117718-60-2
THIDIAZURON,51707-55-2
THIOBENCARB,28249-77-6
"2,2'-THIOBIS(4,6-DICHLORO)PHENOL",97-18-7
"1,1'-THIOBISETHANE",352-93-2
THIODICARB,59669-26-0
THIOPHANATE ETHYL,23564-06-9
THIOPHANATE-METHYL,23564-05-8
THIRAM,137-26-8
THPS,55566-30-8
THYMOL,89-83-8
TOLUENE,108-88-3
TORAK,10311-84-9
"2,4,5-TP ACID (SILVEX)",93-72-1
TRALKOXYDIM,87820-88-0
1-TRIACONTANOL,593-50-0
TRIADIMEFON,43121-43-3
TRIADIMENOL (BAYTAN),55219-65-3
TRIALLATE,2303-17-5
"3,5,7-TRIAZA-1-AZONIATRICYCLO[3.3.1.1(3,7)]DECANE, 1-METHYL-, CHLORIDE",76902-90-4
"3,5,7-TRIAZATRICYCLO[3.1.1.1(3,7)]DECANE, 1-(3-CHLORO-2-PROPENYL)-, CHLORIDE, (Z)-",51229-78-8
"1,3,5-TRIAZINE-1,3,5(2H,4H,6H)-TRIETHANOL (9CI)",1029713
"1,3,5-TRIAZINE-2,4,6(1H,3H,5H)-TRIONE, 1,3-DICHLORO-, SODIUMSALT, DIHYDRATE",51580-86-0
"1,3,5-TRIAZINE-2,4,6-TRIAMINE, N,N',N''-TRICHLORO-",2108798
"1,3,5-TRIAZINE-2,4-DIAMINE, 6-CHLORO-N-(1,1-DIMETHYLETHYL)-N'-ETHYL-",5915-41-3
"1,3,5-TRIAZINE-2,4-DIAMINE, N-(1,1-DIMETHYLETHYL)-N'-ETHYL-6-(METHYLTHIO)-",886-50-0
"1,3,5-TRIAZINE-2,4-DIAMINE, N-CYCLOPROPYL-N'-(1,1-DIMETHYLETHYL)-6-(METHYLTHIO)-",28159-98-0
TRIBENURON METHYL,101200-48-0
"3,4,5-TRIBRMOSALICYLANILIDE",87-10-5
TRIBUTYLTIN BENZOATE,4342-36-3
TRIBUTYLTIN CHLORIDE,1461-22-9
TRIBUTYLTIN FLUORIDE,30593
TRIBUTYLTIN METHACRYLATE,2155-70-6
TRICHLORFON,52-68-6
"1,3,5-TRICHLORO-1,3,5-TRIAZINE-2,4,6 (1H,3H,5H)-TRIONE",87-90-1
TRICHLOROACETIC ACID,76-03-9
"1,2,4-TRICHLOROBENZENE",120-82-1
TRICHLOROBENZYL CHLORIDE,1344-32-7
"1,1,1-TRICHLOROETHANE",71-55-6
TRICHLOROETHYLENE,79-01-6
TRICHLOROFLUOROMETHANE,75-69-4
"2,4,5-TRICHLOROPHENOL",95-95-4
"2,4,6-TRICHLOROPHENOL",88-06-2
TRICLOCARBAN,101-20-2
TRICLOPYR (SALTS & ESTERS),55335-06-3
TRICLOPYR TRIETHYLAMMONIUM SALT,57213-69-1
TRICLOSAN,3380-34-5
"9-TRICOSENE, (E)-",35857-62-6
TRICYCLOHEXYLTIN HYDROXIDE,13121-70-5
"4-TRIDECEN-1-OL, ACETATE, (E)-",72269-48-8
"4-TRIDECEN-1-OL, ACETATE, (Z)-",65954-19-0
TRIETHANOLAMINE,102-71-6
TRIETHANOLAMINE DODECYLBENZENESULFONATE,27323-41-7
TRIETHYLENE GLYCOL,112-27-6
TRIFLOXYSTROBIN,141517-21-7
TRIFLUMIZOLE,68694-11-1
TRIFLURALIN,1582-09-8
TRIFLUSULFURON-METHYL,126535-15-7
TRIFORINE,26644-46-2
"TRIIODOBENZOIC ACID, 2,3,5-",88-82-4
TRIMETHACARB (BROOT),2686-99-9
"2,6,6-TRIMETHYL-BICYCLO(3.1.1)HEPTANE, DIDEHYDRO DERIV.",1330-16-1
"2,6,6-TRIMETHYLBICYCLO(3.1.1)-2-HEPT-2-ENE",80-56-8
"2,3,5-TRIMETHYLPHENYL METHYLCARBAMATE",2655-15-4
TRINEXAPAC-ETHYL,95266-40-3
TRIPHENYLTIN HYDROXIDE,76-87-9
"1,1,1-TRIS(HYDROXYMETHYL)NITROMETHANE",126-11-4
TURPENTINE,8006-64-2
TURPENTINE GUM,9005-90-7
10-UNDECENOIC ACID,112-38-9
UNICONAZOLE (PRUNIT),83657-17-4
UPPER COAL TAR DISTILLATE,65996-91-0
UREA,57-13-6
VANCIDE TH,7779-27-3
VERNOLATE,1929-77-7
VINCLOZOLIN,50471-44-8
WARFARIN AND SALTS,81-81-2
WARFARIN SODIUM,129-06-6
WINTERGREEN OIL,119-36-8
XYLENE (MIXED ISOMERS),1330-20-7
XYLENOL,1300-71-6
Z-8-DODECENYL ACETATE,28079-04-1
ZINC,7440-66-6
ZINC CHLORIDE FUME,7646-85-7
ZINC NAPHTHENATE,12001-85-3
ZINC OXIDE,1314-13-2
ZINC PHENOLSULFONATE,127-82-2
ZINC PHOSPHIDE,1314-84-7
ZINC SILICFLUORIDE,16871-71-9
ZINC STEARATE,557-05-1
ZINC SULFATE,7733-02-0
ZINC SULFATE (BASIC),68813-94-5
"ZINC, BIS(1-HYDROXY-2(1H)-PYRIDINETHIONATO-O,S)-, (T-4)-",13463-41-7
ZINEB,12122-67-7
ZIRAM,137-30-4
ZOXAMIDE,156052-68-5
