LAKE,LAT,LON,Feb-08,Feb-08,Mar-08,Mar-08,Mar-08,Apr-08,Apr-08,Apr-08,Apr-08,Apr-08,May-08,Jun-08,Jun-08,Jun-08,Jul-08,Jul-08,Aug-08,Aug-08,Sep-08,Sep-08,Sep-08,Oct-08,Oct-08,Oct-08,Oct-08,Oct-08,Nov-08,Nov-08,Nov-08,Nov-08,Nov-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Jan-09,Jan-09,Jan-09,Jan-09,Jan-09,Feb-09,Feb-09,Feb-09,Feb-09,Feb-09,Mar-09,Mar-09,Mar-09,Mar-09,Mar-09,Mar-09,Mar-09,Apr-09,Apr-09,Apr-09,Apr-09,Apr-09,Apr-09,May-09,May-09,May-09,May-09,Jun-09,Jun-09,Jun-09,Jul-09,Aug-09,Aug-09,Aug-09,Aug-09,Aug-09,Aug-09,Aug-09,Sep-09,Sep-09,Sep-09,Sep-09,Oct-09,Oct-09,Oct-09,Oct-09,Oct-09,Oct-09,Dec-09,Dec-09,Jan-10,Jan-10,Jan-10,Jan-10,Feb-10,Feb-10,Feb-10,Feb-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,May-10,May-10,May-10,May-10,Jun-10,Jun-10,Jun-10,Jun-10,Jun-10,Jun-10,Jun-10,Jul-10,Jul-10,Jul-10,Aug-10,Aug-10,Aug-10,Aug-10,Sep-10,Sep-10,Sep-10,Sep-10,Oct-10,Oct-10,Oct-10,Oct-10,Oct-10,Oct-10,Nov-10,Dec-10,Dec-10,Dec-10,Dec-10,Dec-10,Jan-11,Jan-11,Feb-11,Feb-11,Feb-11,Mar-11,Mar-11,Mar-11,Mar-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,May-11,May-11,May-11,May-11,May-11,May-11,Jun-11,Jun-11,Jun-11,Jun-11,Jul-11,Jul-11,Jul-11,Aug-11,Aug-11,Sep-11,Sep-11,Sep-11,Sep-11,Sep-11,Oct-11,Oct-11,Oct-11,Oct-11,Nov-11,Nov-11,Nov-11,Nov-11,Dec-11
Lake Houston,30,-95.16,9612,5539,3220,2818,2988,2028,1771,2033,1785,5241,6736,5337,8070,18764,11287,6364,3985,2148,2446,1962,2336,5445,4700,4791,6809,9656,6558,4800,2610,2320,2394,1840,2407,4873,5526,10579,8681,11458,7318,4870,2834,2127,2319,1781,2591,4192,5246,6888,30,95.16,9612,5539,3220,2818,2988,2028,1771,2033,1785,5241,6736,5337,8070,18764,11287,6364,3985,2148,2446,1962,2336,5445,4700,4791,6809,9656,6558,4800,2610,2320,2394,1840,2407,4873,5526,10579,8681,11458,7318,4870,2834,2127,2319,1781,2591,4192,5246,6888,30,95.16,9612,5539,3220,2818,2988,2028,1771,2033,1785,5241,6736,5337,8070,18764,11287,6364,3985,2148,2446,1962,2336,5445,4700,4791,6809,9656,6558,4800,2610,2320,2394,1840,2407,4873,5526,10579,8681,11458,7318,4870,2834,2127,2319,1781,2591,4192,5246,6888,30,95.16,9612,5539,3220,2818,2988,2028,1771,2033,1785,5241,6736,5337,8070,18764,11287,6364,3985,2148,2446,1962,2336,5445,4700,4791,6809,9656,6558,4800,2610,2320,2394,1840,2407,4873,5526,10579,8681,11458,7318,4870,2834
Lake Hubert,46.49,-94.27,7798,4522,2815,2647,2320,2010,1843,2477,1919,7135,5570,8384,14313,16676,8233,4674,3540,2107,2829,1916,3446,9883,6419,8871,11073,7327,7359,6050,3580,2582,2270,1616,2020,4846,4981,10843,9918,13752,6114,4651,2758,2255,2244,1802,2896,4579,5316,8381,46.49,94.27,7798,4522,2815,2647,2320,2010,1843,2477,1919,7135,5570,8384,14313,16676,8233,4674,3540,2107,2829,1916,3446,9883,6419,8871,11073,7327,7359,6050,3580,2582,2270,1616,2020,4846,4981,10843,9918,13752,6114,4651,2758,2255,2244,1802,2896,4579,5316,8381,46.49,94.27,7798,4522,2815,2647,2320,2010,1843,2477,1919,7135,5570,8384,14313,16676,8233,4674,3540,2107,2829,1916,3446,9883,6419,8871,11073,7327,7359,6050,3580,2582,2270,1616,2020,4846,4981,10843,9918,13752,6114,4651,2758,2255,2244,1802,2896,4579,5316,8381,46.49,94.27,7798,4522,2815,2647,2320,2010,1843,2477,1919,7135,5570,8384,14313,16676,8233,4674,3540,2107,2829,1916,3446,9883,6419,8871,11073,7327,7359,6050,3580,2582,2270,1616,2020,4846,4981,10843,9918,13752,6114,4651,2758
Lake Huron,44.58,-83.32,15566,7696,4233,3879,4184,3146,2996,3513,3011,7485,8485,8669,14725,17174,10563,8975,7414,3647,3375,2439,4622,9333,12097,26516,24556,9783,7227,8228,5935,4110,3415,2340,4206,7883,8081,11894,9237,10382,8871,7289,4252,3026,3257,2555,5378,4858,7199,9296,44.58,83.32,15566,7696,4233,3879,4184,3146,2996,3513,3011,7485,8485,8669,14725,17174,10563,8975,7414,3647,3375,2439,4622,9333,12097,26516,24556,9783,7227,8228,5935,4110,3415,2340,4206,7883,8081,11894,9237,10382,8871,7289,4252,3026,3257,2555,5378,4858,7199,9296,44.58,83.32,15566,7696,4233,3879,4184,3146,2996,3513,3011,7485,8485,8669,14725,17174,10563,8975,7414,3647,3375,2439,4622,9333,12097,26516,24556,9783,7227,8228,5935,4110,3415,2340,4206,7883,8081,11894,9237,10382,8871,7289,4252,3026,3257,2555,5378,4858,7199,9296,44.58,83.32,15566,7696,4233,3879,4184,3146,2996,3513,3011,7485,8485,8669,14725,17174,10563,8975,7414,3647,3375,2439,4622,9333,12097,26516,24556,9783,7227,8228,5935,4110,3415,2340,4206,7883,8081,11894,9237,10382,8871,7289,4252
Lake Ida,45.99,-95.42,10221,5667,3485,3134,3420,2282,2132,2210,1948,6476,6150,6355,9393,14440,10656,5308,4190,2596,3229,2387,3450,7394,5712,6468,8748,8843,9459,5935,3882,3337,3837,2686,3143,5764,5672,8568,6378,8722,7862,5319,3613,3153,3164,2715,4548,4299,5059,7193,45.99,95.42,10221,5667,3485,3134,3420,2282,2132,2210,1948,6476,6150,6355,9393,14440,10656,5308,4190,2596,3229,2387,3450,7394,5712,6468,8748,8843,9459,5935,3882,3337,3837,2686,3143,5764,5672,8568,6378,8722,7862,5319,3613,3153,3164,2715,4548,4299,5059,7193,45.99,95.42,10221,5667,3485,3134,3420,2282,2132,2210,1948,6476,6150,6355,9393,14440,10656,5308,4190,2596,3229,2387,3450,7394,5712,6468,8748,8843,9459,5935,3882,3337,3837,2686,3143,5764,5672,8568,6378,8722,7862,5319,3613,3153,3164,2715,4548,4299,5059,7193,45.99,95.42,10221,5667,3485,3134,3420,2282,2132,2210,1948,6476,6150,6355,9393,14440,10656,5308,4190,2596,3229,2387,3450,7394,5712,6468,8748,8843,9459,5935,3882,3337,3837,2686,3143,5764,5672,8568,6378,8722,7862,5319,3613
Lake Independence,46.81,-87.7,9524,6878,3738,3549,3160,2256,2792,3403,4137,9770,7208,7723,12391,11872,7326,5111,4548,3120,3571,2853,4214,10057,8678,19671,13342,9174,8646,6636,4067,3158,3267,2293,3844,5807,5772,9656,10654,11463,7213,5607,3171,2718,3048,3042,4860,4850,5222,8344,46.81,87.7,9524,6878,3738,3549,3160,2256,2792,3403,4137,9770,7208,7723,12391,11872,7326,5111,4548,3120,3571,2853,4214,10057,8678,19671,13342,9174,8646,6636,4067,3158,3267,2293,3844,5807,5772,9656,10654,11463,7213,5607,3171,2718,3048,3042,4860,4850,5222,8344,46.81,87.7,9524,6878,3738,3549,3160,2256,2792,3403,4137,9770,7208,7723,12391,11872,7326,5111,4548,3120,3571,2853,4214,10057,8678,19671,13342,9174,8646,6636,4067,3158,3267,2293,3844,5807,5772,9656,10654,11463,7213,5607,3171,2718,3048,3042,4860,4850,5222,8344,46.81,87.7,9524,6878,3738,3549,3160,2256,2792,3403,4137,9770,7208,7723,12391,11872,7326,5111,4548,3120,3571,2853,4214,10057,8678,19671,13342,9174,8646,6636,4067,3158,3267,2293,3844,5807,5772,9656,10654,11463,7213,5607,3171
Lake Independence,45.03,-93.65,11881,5409,3682,3394,3368,2210,2231,2802,2133,4969,5559,9546,20544,16994,8689,5425,3385,1900,2216,1455,2014,5170,4969,4983,7393,6954,6463,7645,3250,2312,2133,1506,1856,4300,5064,8120,7067,7226,6160,6028,3070,2496,2648,1873,2560,3546,4968,7357,45.03,93.65,11881,5409,3682,3394,3368,2210,2231,2802,2133,4969,5559,9546,20544,16994,8689,5425,3385,1900,2216,1455,2014,5170,4969,4983,7393,6954,6463,7645,3250,2312,2133,1506,1856,4300,5064,8120,7067,7226,6160,6028,3070,2496,2648,1873,2560,3546,4968,7357,45.03,93.65,11881,5409,3682,3394,3368,2210,2231,2802,2133,4969,5559,9546,20544,16994,8689,5425,3385,1900,2216,1455,2014,5170,4969,4983,7393,6954,6463,7645,3250,2312,2133,1506,1856,4300,5064,8120,7067,7226,6160,6028,3070,2496,2648,1873,2560,3546,4968,7357,45.03,93.65,11881,5409,3682,3394,3368,2210,2231,2802,2133,4969,5559,9546,20544,16994,8689,5425,3385,1900,2216,1455,2014,5170,4969,4983,7393,6954,6463,7645,3250,2312,2133,1506,1856,4300,5064,8120,7067,7226,6160,6028,3070
Lake Irvine,48.31,-99.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,2041,3160,4985,5981,5656,4670,2656,2235,2391,1708,1592,2118,2435,4961,5838,7422,6302,4663,2645,2181,2253,1647,1948,1779,2582,4271,48.31,99.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,2041,3160,4985,5981,5656,4670,2656,2235,2391,1708,1592,2118,2435,4961,5838,7422,6302,4663,2645,2181,2253,1647,1948,1779,2582,4271,48.31,99.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,2041,3160,4985,5981,5656,4670,2656,2235,2391,1708,1592,2118,2435,4961,5838,7422,6302,4663,2645,2181,2253,1647,1948,1779,2582,4271,48.31,99.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,2041,3160,4985,5981,5656,4670,2656,2235,2391,1708,1592,2118,2435,4961,5838,7422,6302,4663,2645
Lake Isabel,46.82,-99.75,15566,7696,4233,3879,4184,3146,2996,3513,3011,7485,8485,8669,14725,17174,10563,8975,7414,3647,3375,2439,4622,9333,12097,26516,24556,9783,7227,8228,5935,4110,3415,2340,4206,7883,8081,11894,9237,10382,8871,7289,4252,3026,3257,2555,5378,4858,7199,9296,46.82,99.75,15566,7696,4233,3879,4184,3146,2996,3513,3011,7485,8485,8669,14725,17174,10563,8975,7414,3647,3375,2439,4622,9333,12097,26516,24556,9783,7227,8228,5935,4110,3415,2340,4206,7883,8081,11894,9237,10382,8871,7289,4252,3026,3257,2555,5378,4858,7199,9296,46.82,99.75,15566,7696,4233,3879,4184,3146,2996,3513,3011,7485,8485,8669,14725,17174,10563,8975,7414,3647,3375,2439,4622,9333,12097,26516,24556,9783,7227,8228,5935,4110,3415,2340,4206,7883,8081,11894,9237,10382,8871,7289,4252,3026,3257,2555,5378,4858,7199,9296,46.82,99.75,15566,7696,4233,3879,4184,3146,2996,3513,3011,7485,8485,8669,14725,17174,10563,8975,7414,3647,3375,2439,4622,9333,12097,26516,24556,9783,7227,8228,5935,4110,3415,2340,4206,7883,8081,11894,9237,10382,8871,7289,4252
Lake Isabel,35.76,-105.1,11953,9131,6119,4254,4826,3789,3912,4575,5007,9940,9070,10305,18327,26967,11489,7535,6879,3874,4722,3952,5020,11376,11336,17200,21254,11419,7979,8227,5595,4790,5176,3959,4285,7775,10053,13741,11121,22990,13359,8688,6127,5336,5831,5063,8526,9318,10237,15787,35.76,105.1,11953,9131,6119,4254,4826,3789,3912,4575,5007,9940,9070,10305,18327,26967,11489,7535,6879,3874,4722,3952,5020,11376,11336,17200,21254,11419,7979,8227,5595,4790,5176,3959,4285,7775,10053,13741,11121,22990,13359,8688,6127,5336,5831,5063,8526,9318,10237,15787,35.76,105.1,11953,9131,6119,4254,4826,3789,3912,4575,5007,9940,9070,10305,18327,26967,11489,7535,6879,3874,4722,3952,5020,11376,11336,17200,21254,11419,7979,8227,5595,4790,5176,3959,4285,7775,10053,13741,11121,22990,13359,8688,6127,5336,5831,5063,8526,9318,10237,15787,35.76,105.1,11953,9131,6119,4254,4826,3789,3912,4575,5007,9940,9070,10305,18327,26967,11489,7535,6879,3874,4722,3952,5020,11376,11336,17200,21254,11419,7979,8227,5595,4790,5176,3959,4285,7775,10053,13741,11121,22990,13359,8688,6127
Lake J B Thomas,32.58,-101.2,19187,9940,4870,4092,3723,2405,2275,2561,2296,5758,9271,8969,14178,11933,11934,7670,7430,4799,4000,2405,2889,8683,9613,32841,22356,7127,6702,7531,4540,3386,3447,2473,3207,5328,7685,11308,10030,9836,9150,5625,3009,2727,3291,2523,4010,4605,7247,8706,32.58,101.2,19187,9940,4870,4092,3723,2405,2275,2561,2296,5758,9271,8969,14178,11933,11934,7670,7430,4799,4000,2405,2889,8683,9613,32841,22356,7127,6702,7531,4540,3386,3447,2473,3207,5328,7685,11308,10030,9836,9150,5625,3009,2727,3291,2523,4010,4605,7247,8706,32.58,101.2,19187,9940,4870,4092,3723,2405,2275,2561,2296,5758,9271,8969,14178,11933,11934,7670,7430,4799,4000,2405,2889,8683,9613,32841,22356,7127,6702,7531,4540,3386,3447,2473,3207,5328,7685,11308,10030,9836,9150,5625,3009,2727,3291,2523,4010,4605,7247,8706,32.58,101.2,19187,9940,4870,4092,3723,2405,2275,2561,2296,5758,9271,8969,14178,11933,11934,7670,7430,4799,4000,2405,2889,8683,9613,32841,22356,7127,6702,7531,4540,3386,3447,2473,3207,5328,7685,11308,10030,9836,9150,5625,3009
Lake Jackson,30.53,-84.32,0,0,0,0,0,0,0,0,0,1448,8353,8116,7003,11687,11863,7049,5309,3044,2920,1910,1812,4048,5285,5771,8302,7681,6420,5670,3342,2887,3007,2128,2085,3053,3408,7900,10012,12777,8547,5962,3283,2637,2857,2228,2756,2927,4906,7441,30.53,84.32,0,0,0,0,0,0,0,0,0,1448,8353,8116,7003,11687,11863,7049,5309,3044,2920,1910,1812,4048,5285,5771,8302,7681,6420,5670,3342,2887,3007,2128,2085,3053,3408,7900,10012,12777,8547,5962,3283,2637,2857,2228,2756,2927,4906,7441,30.53,84.32,0,0,0,0,0,0,0,0,0,1448,8353,8116,7003,11687,11863,7049,5309,3044,2920,1910,1812,4048,5285,5771,8302,7681,6420,5670,3342,2887,3007,2128,2085,3053,3408,7900,10012,12777,8547,5962,3283,2637,2857,2228,2756,2927,4906,7441,30.53,84.32,0,0,0,0,0,0,0,0,0,1448,8353,8116,7003,11687,11863,7049,5309,3044,2920,1910,1812,4048,5285,5771,8302,7681,6420,5670,3342,2887,3007,2128,2085,3053,3408,7900,10012,12777,8547,5962,3283
Lake Jennie,45,-94.33,0,0,0,0,0,0,0,0,0,1603,4133,4272,6186,9968,7634,4429,3607,2147,2148,1574,1657,3521,3795,3732,5721,7157,7871,5056,2573,1963,2053,1434,1511,2124,2499,4580,5321,8389,5281,3745,2076,1649,1755,1286,1644,1796,2904,4032,45,94.33,0,0,0,0,0,0,0,0,0,1603,4133,4272,6186,9968,7634,4429,3607,2147,2148,1574,1657,3521,3795,3732,5721,7157,7871,5056,2573,1963,2053,1434,1511,2124,2499,4580,5321,8389,5281,3745,2076,1649,1755,1286,1644,1796,2904,4032,45,94.33,0,0,0,0,0,0,0,0,0,1603,4133,4272,6186,9968,7634,4429,3607,2147,2148,1574,1657,3521,3795,3732,5721,7157,7871,5056,2573,1963,2053,1434,1511,2124,2499,4580,5321,8389,5281,3745,2076,1649,1755,1286,1644,1796,2904,4032,45,94.33,0,0,0,0,0,0,0,0,0,1603,4133,4272,6186,9968,7634,4429,3607,2147,2148,1574,1657,3521,3795,3732,5721,7157,7871,5056,2573,1963,2053,1434,1511,2124,2499,4580,5321,8389,5281,3745,2076
Lake Jewett,46.41,-96.05,7192,3951,2153,1803,1889,1369,1237,1527,1361,3362,3956,3833,6000,7103,6055,3450,2833,1740,2046,1562,1755,4045,3474,3507,5376,5909,4735,3560,1976,1602,1796,1381,1520,2266,3151,6457,5439,5908,4866,3725,2172,1836,1978,1413,1850,1970,3001,4295,46.41,96.05,7192,3951,2153,1803,1889,1369,1237,1527,1361,3362,3956,3833,6000,7103,6055,3450,2833,1740,2046,1562,1755,4045,3474,3507,5376,5909,4735,3560,1976,1602,1796,1381,1520,2266,3151,6457,5439,5908,4866,3725,2172,1836,1978,1413,1850,1970,3001,4295,46.41,96.05,7192,3951,2153,1803,1889,1369,1237,1527,1361,3362,3956,3833,6000,7103,6055,3450,2833,1740,2046,1562,1755,4045,3474,3507,5376,5909,4735,3560,1976,1602,1796,1381,1520,2266,3151,6457,5439,5908,4866,3725,2172,1836,1978,1413,1850,1970,3001,4295,46.41,96.05,7192,3951,2153,1803,1889,1369,1237,1527,1361,3362,3956,3833,6000,7103,6055,3450,2833,1740,2046,1562,1755,4045,3474,3507,5376,5909,4735,3560,1976,1602,1796,1381,1520,2266,3151,6457,5439,5908,4866,3725,2172
Lake Jocassee,34.98,-82.95,0,0,0,0,0,0,0,0,0,3818,6525,6628,13644,24160,9446,5861,4711,2702,2694,1916,2045,5361,6164,5698,7843,8198,8271,6193,3087,2685,2886,2297,2200,3802,5186,10983,9982,13232,11205,5902,2869,2289,2634,1947,2852,3089,4808,6799,34.98,82.95,0,0,0,0,0,0,0,0,0,3818,6525,6628,13644,24160,9446,5861,4711,2702,2694,1916,2045,5361,6164,5698,7843,8198,8271,6193,3087,2685,2886,2297,2200,3802,5186,10983,9982,13232,11205,5902,2869,2289,2634,1947,2852,3089,4808,6799,34.98,82.95,0,0,0,0,0,0,0,0,0,3818,6525,6628,13644,24160,9446,5861,4711,2702,2694,1916,2045,5361,6164,5698,7843,8198,8271,6193,3087,2685,2886,2297,2200,3802,5186,10983,9982,13232,11205,5902,2869,2289,2634,1947,2852,3089,4808,6799,34.98,82.95,0,0,0,0,0,0,0,0,0,3818,6525,6628,13644,24160,9446,5861,4711,2702,2694,1916,2045,5361,6164,5698,7843,8198,8271,6193,3087,2685,2886,2297,2200,3802,5186,10983,9982,13232,11205,5902,2869
Lake Johanna,45.47,-95.22,16726,10612,5699,4725,4993,3431,3315,3692,2785,5546,8372,8678,12102,18005,14006,8512,6568,4418,4933,3286,3389,7701,7705,8591,10827,9729,11374,9049,4801,4234,4601,3267,3504,6962,7234,11917,8127,10333,12944,9523,5345,4217,4473,3445,5145,6000,7713,10960,45.47,95.22,16726,10612,5699,4725,4993,3431,3315,3692,2785,5546,8372,8678,12102,18005,14006,8512,6568,4418,4933,3286,3389,7701,7705,8591,10827,9729,11374,9049,4801,4234,4601,3267,3504,6962,7234,11917,8127,10333,12944,9523,5345,4217,4473,3445,5145,6000,7713,10960,45.47,95.22,16726,10612,5699,4725,4993,3431,3315,3692,2785,5546,8372,8678,12102,18005,14006,8512,6568,4418,4933,3286,3389,7701,7705,8591,10827,9729,11374,9049,4801,4234,4601,3267,3504,6962,7234,11917,8127,10333,12944,9523,5345,4217,4473,3445,5145,6000,7713,10960,45.47,95.22,16726,10612,5699,4725,4993,3431,3315,3692,2785,5546,8372,8678,12102,18005,14006,8512,6568,4418,4933,3286,3389,7701,7705,8591,10827,9729,11374,9049,4801,4234,4601,3267,3504,6962,7234,11917,8127,10333,12944,9523,5345
Lake Kampeska,44.92,-97.21,0,0,0,0,0,0,0,0,0,3825,7037,5679,8505,13921,8892,5815,4313,2429,2473,1855,2163,5512,5034,4789,5986,7295,9813,7673,3683,2714,3222,2333,2345,4719,4892,7896,7618,7701,7492,6246,3394,2412,2625,2075,2991,3669,4526,7131,44.92,97.21,0,0,0,0,0,0,0,0,0,3825,7037,5679,8505,13921,8892,5815,4313,2429,2473,1855,2163,5512,5034,4789,5986,7295,9813,7673,3683,2714,3222,2333,2345,4719,4892,7896,7618,7701,7492,6246,3394,2412,2625,2075,2991,3669,4526,7131,44.92,97.21,0,0,0,0,0,0,0,0,0,3825,7037,5679,8505,13921,8892,5815,4313,2429,2473,1855,2163,5512,5034,4789,5986,7295,9813,7673,3683,2714,3222,2333,2345,4719,4892,7896,7618,7701,7492,6246,3394,2412,2625,2075,2991,3669,4526,7131,44.92,97.21,0,0,0,0,0,0,0,0,0,3825,7037,5679,8505,13921,8892,5815,4313,2429,2473,1855,2163,5512,5034,4789,5986,7295,9813,7673,3683,2714,3222,2333,2345,4719,4892,7896,7618,7701,7492,6246,3394
Lake Kegonsa 410,42.97,-89.25,16323,7720,3609,2677,2244,1652,1516,1731,1512,3705,5787,6884,13064,13149,9334,5755,4520,2496,2627,1959,2418,5891,5647,4770,7564,6974,6722,6088,3255,2492,2610,1806,1874,3071,3296,4572,4980,5596,6856,7250,4264,3418,3316,2376,2967,2768,3763,6604,42.97,89.25,16323,7720,3609,2677,2244,1652,1516,1731,1512,3705,5787,6884,13064,13149,9334,5755,4520,2496,2627,1959,2418,5891,5647,4770,7564,6974,6722,6088,3255,2492,2610,1806,1874,3071,3296,4572,4980,5596,6856,7250,4264,3418,3316,2376,2967,2768,3763,6604,42.97,89.25,16323,7720,3609,2677,2244,1652,1516,1731,1512,3705,5787,6884,13064,13149,9334,5755,4520,2496,2627,1959,2418,5891,5647,4770,7564,6974,6722,6088,3255,2492,2610,1806,1874,3071,3296,4572,4980,5596,6856,7250,4264,3418,3316,2376,2967,2768,3763,6604,42.97,89.25,16323,7720,3609,2677,2244,1652,1516,1731,1512,3705,5787,6884,13064,13149,9334,5755,4520,2496,2627,1959,2418,5891,5647,4770,7564,6974,6722,6088,3255,2492,2610,1806,1874,3071,3296,4572,4980,5596,6856,7250,4264
Lake Kemp,33.76,-99.23,0,0,0,0,0,0,0,0,440,1351,2708,3261,6560,6759,5026,3718,2942,1628,1585,1050,971,1948,3648,3997,6948,5274,5246,3982,1937,1489,1486,1012,955,1433,1918,3814,3177,4742,5642,4027,2084,1547,1568,1179,1815,1950,2516,4380,33.76,99.23,0,0,0,0,0,0,0,0,440,1351,2708,3261,6560,6759,5026,3718,2942,1628,1585,1050,971,1948,3648,3997,6948,5274,5246,3982,1937,1489,1486,1012,955,1433,1918,3814,3177,4742,5642,4027,2084,1547,1568,1179,1815,1950,2516,4380,33.76,99.23,0,0,0,0,0,0,0,0,440,1351,2708,3261,6560,6759,5026,3718,2942,1628,1585,1050,971,1948,3648,3997,6948,5274,5246,3982,1937,1489,1486,1012,955,1433,1918,3814,3177,4742,5642,4027,2084,1547,1568,1179,1815,1950,2516,4380,33.76,99.23,0,0,0,0,0,0,0,0,440,1351,2708,3261,6560,6759,5026,3718,2942,1628,1585,1050,971,1948,3648,3997,6948,5274,5246,3982,1937,1489,1486,1012,955,1433,1918,3814,3177,4742,5642,4027,2084
Lake Kickapoo,33.64,-98.83,17985,8709,4583,3800,4768,3205,2993,3433,2810,11689,13382,10976,21950,23027,13582,8727,6685,3741,4623,3692,6077,10859,9312,17430,18471,13168,11076,11832,5859,4106,4361,3548,4049,7612,7116,8346,11733,12827,11170,8339,5253,4674,4486,3022,4522,5182,6677,10506,33.64,98.83,17985,8709,4583,3800,4768,3205,2993,3433,2810,11689,13382,10976,21950,23027,13582,8727,6685,3741,4623,3692,6077,10859,9312,17430,18471,13168,11076,11832,5859,4106,4361,3548,4049,7612,7116,8346,11733,12827,11170,8339,5253,4674,4486,3022,4522,5182,6677,10506,33.64,98.83,17985,8709,4583,3800,4768,3205,2993,3433,2810,11689,13382,10976,21950,23027,13582,8727,6685,3741,4623,3692,6077,10859,9312,17430,18471,13168,11076,11832,5859,4106,4361,3548,4049,7612,7116,8346,11733,12827,11170,8339,5253,4674,4486,3022,4522,5182,6677,10506,33.64,98.83,17985,8709,4583,3800,4768,3205,2993,3433,2810,11689,13382,10976,21950,23027,13582,8727,6685,3741,4623,3692,6077,10859,9312,17430,18471,13168,11076,11832,5859,4106,4361,3548,4049,7612,7116,8346,11733,12827,11170,8339,5253
Lake Koronis,45.34,-94.71,0,0,0,0,0,0,0,0,0,4793,10459,13304,18248,31237,22476,13409,11123,7044,7665,5437,5761,9687,13525,15699,30951,22437,17821,14543,8507,6980,7615,5619,6021,11621,12300,17000,12671,17838,25787,18692,10302,8478,8807,6226,7370,8064,11763,17174,45.34,94.71,0,0,0,0,0,0,0,0,0,4793,10459,13304,18248,31237,22476,13409,11123,7044,7665,5437,5761,9687,13525,15699,30951,22437,17821,14543,8507,6980,7615,5619,6021,11621,12300,17000,12671,17838,25787,18692,10302,8478,8807,6226,7370,8064,11763,17174,45.34,94.71,0,0,0,0,0,0,0,0,0,4793,10459,13304,18248,31237,22476,13409,11123,7044,7665,5437,5761,9687,13525,15699,30951,22437,17821,14543,8507,6980,7615,5619,6021,11621,12300,17000,12671,17838,25787,18692,10302,8478,8807,6226,7370,8064,11763,17174,45.34,94.71,0,0,0,0,0,0,0,0,0,4793,10459,13304,18248,31237,22476,13409,11123,7044,7665,5437,5761,9687,13525,15699,30951,22437,17821,14543,8507,6980,7615,5619,6021,11621,12300,17000,12671,17838,25787,18692,10302
Lake Koshkonong,42.87,-88.96,10669,5337,2931,2452,2692,1868,1628,2020,2050,7481,7062,6880,11299,20060,12222,4788,3354,1982,2188,1684,2447,5688,6712,6641,9345,10826,8902,5945,2904,2429,2574,1702,2078,4647,5896,11262,8002,14435,9586,4805,2833,2386,2284,1636,2944,4261,6124,7964,42.87,88.96,10669,5337,2931,2452,2692,1868,1628,2020,2050,7481,7062,6880,11299,20060,12222,4788,3354,1982,2188,1684,2447,5688,6712,6641,9345,10826,8902,5945,2904,2429,2574,1702,2078,4647,5896,11262,8002,14435,9586,4805,2833,2386,2284,1636,2944,4261,6124,7964,42.87,88.96,10669,5337,2931,2452,2692,1868,1628,2020,2050,7481,7062,6880,11299,20060,12222,4788,3354,1982,2188,1684,2447,5688,6712,6641,9345,10826,8902,5945,2904,2429,2574,1702,2078,4647,5896,11262,8002,14435,9586,4805,2833,2386,2284,1636,2944,4261,6124,7964,42.87,88.96,10669,5337,2931,2452,2692,1868,1628,2020,2050,7481,7062,6880,11299,20060,12222,4788,3354,1982,2188,1684,2447,5688,6712,6641,9345,10826,8902,5945,2904,2429,2574,1702,2078,4647,5896,11262,8002,14435,9586,4805,2833
Lake La Graisse,29.23,-90.59,20999,13527,8531,6976,7541,5056,4421,5528,4527,8635,13273,12282,18050,26598,18175,11007,9492,5629,5991,4215,4462,8970,10761,10786,30692,25122,13542,10198,6208,4915,5041,3383,3790,7636,10745,15081,14294,30544,19886,11416,6267,5666,6418,5232,8571,8362,12555,14995,29.23,90.59,20999,13527,8531,6976,7541,5056,4421,5528,4527,8635,13273,12282,18050,26598,18175,11007,9492,5629,5991,4215,4462,8970,10761,10786,30692,25122,13542,10198,6208,4915,5041,3383,3790,7636,10745,15081,14294,30544,19886,11416,6267,5666,6418,5232,8571,8362,12555,14995,29.23,90.59,20999,13527,8531,6976,7541,5056,4421,5528,4527,8635,13273,12282,18050,26598,18175,11007,9492,5629,5991,4215,4462,8970,10761,10786,30692,25122,13542,10198,6208,4915,5041,3383,3790,7636,10745,15081,14294,30544,19886,11416,6267,5666,6418,5232,8571,8362,12555,14995,29.23,90.59,20999,13527,8531,6976,7541,5056,4421,5528,4527,8635,13273,12282,18050,26598,18175,11007,9492,5629,5991,4215,4462,8970,10761,10786,30692,25122,13542,10198,6208,4915,5041,3383,3790,7636,10745,15081,14294,30544,19886,11416,6267
